学校	がっこう	Noun:|1. school||Wikipedia definition:|2. School
川	かわ	Noun:|1. river; stream||Suffix:|2. River; the ... river (suffix used with the names of rivers)||Wikipedia definition:|3. River
手	て	Noun:|1. hand; arm (occ. pronounced た when a prefix)|2. forepaw; foreleg (Colloquialism)|3. handle|4. hand; worker; help|5. trouble; care; effort|6. means; way; trick; move; technique; workmanship|7. hand; handwriting|8. kind; type; sort|9. one's hands; one's possession|10. ability to cope|11. hand (of cards)|12. direction||Noun, Noun - used as a suffix, Counter:|13. move (in go, shogi, etc.)||Wikipedia definition:|14. Hand
戸	と	Noun:|1. door (esp. Japanese-style)|2. shutter; window shutter|3. entrance (to a home) (Archaism)|4. narrows (Archaism)||Wikipedia definition:|5. Gate
眼鏡	めがね	Noun:|1. glasses; eyeglasses; spectacles|2. judgment; judgement; discrimination; discernment; insight||Wikipedia definition:|3. Glasses
たばこ	Noun:|1. tobacco; cigarette; cigaret; cigar (Usually written using kana alone)|2. tobacco plant (Nicotiana tabacum) (Usually written using kana alone)||Wikipedia definition:|3. Tobacco
赤	あか	Noun:|1. red; crimson; scarlet|2. red-containing colour (e.g. brown, pink, orange)|3. Red (i.e. communist) (Colloquialism) (often written as アカ)|4. red light (traffic) (Abbreviation)|5. red ink (i.e. in finance or proof-reading); (in) the red (Abbreviation)||No-adjective:|6. complete; total; perfect; obvious||Noun:|7. copper||Wikipedia definition:|8. Red
仕事	しごと	Noun, Suru verb, No-adjective:|1. work; job; business; occupation; employment; vocation; task|2. work (Physics terminology)||Wikipedia definition:|3. Work
英語	えいご	Noun, No-adjective:|1. English (language)||Wikipedia definition:|2. English language
問題	もんだい	Noun:|1. question (e.g. on a test); problem|2. problem (e.g. societal, political); question; issue; subject (e.g. of research); case; matter|3. question (i.e. doubt)|4. public discussion; controversy|5. trouble; problem; inconvenience; difficulty||Wikipedia definition:|6. Problem
部屋	へや	Noun:|1. room; chamber|2. apartment; flat; pad|3. stable (Sumo term, Abbreviation)||Wikipedia definition:|4. Room
子供	こども	Noun:|1. child||Wikipedia definition:|2. Child
時間	じかん	Noun:|1. time|2. hour||Wikipedia definition:|3. Time
雨	あめ	Noun:|1. rain||Wikipedia definition:|2. Rain
先生	せんせい	Noun:|1. teacher; master; doctor (Honorific or respectful (sonkeigo))||Suffix:|2. with names of teachers, etc. as an honorific (Honorific or respectful (sonkeigo))||Noun:|3. previous existence (Archaism)||Wikipedia definition:|4. Sensei
年	とし	Noun:|1. year|2. age; years|3. past one's prime; old age||Wikipedia definition:|4. Year
手紙	てがみ	Noun:|1. letter||Wikipedia definition:|2. Letter (message)
